Operating Unit,Indicator,Description,Fine Age,Sex,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,35-39,Female,2165,2308,1352,1111,938,1067,878,957,950,932,792,793,755,773,689,661,599,715,542
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,25-29,Female,2212,2287,1484,1238,1030,1259,1087,1016,993,908,755,701,700,701,615,596,647,588,519
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,<01,Unknown Sex,34,44,38,31,33,17,21,15,17,18,11,22,16,11,8,12,12,9,14
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,50+,Female,1445,1604,1041,867,699,835,608,721,756,789,648,715,619,698,610,607,514,700,556
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,50+,Male,1516,1714,863,726,564,659,547,643,650,694,594,555,506,569,553,478,452,512,468
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,40-44,Male,1048,1241,547,490,389,506,462,509,505,451,415,346,354,373,315,308,310,359,284
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,30-34,Male,780,737,465,367,307,383,391,392,365,347,257,269,271,279,280,256,206,266,191
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,20-24,Male,239,261,166,128,88,211,249,199,210,230,194,182,159,180,184,153,152,203,187
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Unknown Sex,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,45-49,Female,939,1027,626,466,398,448,376,486,454,476,481,440,391,402,394,380,373,398,338
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,25-29,Male,528,534,355,321,199,351,373,349,289,298,247,206,182,205,184,168,193,190,195
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,14-Oct,Unknown Sex,142,163,86,105,54,73,80,83,78,76,60,63,59,68,55,66,46,49,42
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,<05,Unknown Sex,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,20-24,Female,1346,1335,886,748,659,738,638,635,582,554,510,448,485,486,500,471,414,497,402
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,40-44,Female,1340,1566,942,782,616,758,652,721,743,790,668,598,538,637,593,526,501,564,498
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,15-19,Male,89,100,45,35,37,54,38,45,53,49,43,79,53,60,57,47,53,52,60
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,15-19,Female,398,331,244,193,177,199,196,156,172,174,148,141,143,143,142,107,107,146,96
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,35-39,Male,1104,1146,607,456,407,503,427,461,418,435,373,335,330,349,288,311,277,348,278
Cote d'Ivoire,HTS_TST_POS,Individuals newly tested positive for HIV,9-May,Unknown Sex,200,207,113,128,82,80,67,77,89,72,81,58,61,65,73,70,46,80,46
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,55-59,Female,,,,,,,,,,,,,,,,,2,,
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,25-29,Female,1953,1959,1499,1472,1552,1477,1175,1251,1201,1090,959,928,1021,920,759,804,1041,850,656
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,35-39,Female,1302,1380,1039,987,872,929,777,732,823,894,712,738,917,910,738,774,845,893,617
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,50+,Female,5,4,,1,,,3,,,,,,,,,2,1,,
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,Unknown Age,Female,,9,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,20-24,Female,1122,1029,831,783,765,821,579,667,605,595,555,476,602,547,554,491,496,525,446
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,40-44,Female,272,358,310,254,266,251,234,206,233,304,275,248,259,288,243,267,274,268,240
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,30-34,Female,2085,2065,1611,1452,1330,1349,1129,1079,1191,1251,991,1015,1202,1048,946,956,1024,988,749
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,15-19,Female,304,252,205,177,187,154,144,117,177,162,151,108,139,125,123,119,117,139,80
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,45-49,Female,24,52,35,26,24,22,19,18,18,22,22,21,16,20,32,24,29,30,17
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,50-54,Female,,,,,,,,,,,,,,,,,3,,
Cote d'Ivoire,PMTCT_ART,HIV-positive pregnant women who received ART,14-Oct,Unknown Sex,3,4,5,4,2,2,2,,,2,2,2,,4,,,,2,
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,15-19,Female,59745,55154,48034,47670,41905,39996,34257,32206,29289,29235,26470,26831,30124,27764,25762,26071,29710,28050,23905
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,20-24,Female,93798,88788,76434,76681,71292,71950,62611,60982,52943,50482,44907,46856,52228,50487,46251,48532,54832,51643,41690
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,40-44,Female,9286,9906,7795,6965,6877,7731,6573,6618,5963,6613,5419,5480,6412,6960,6108,5778,7281,7352,5946
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,30-34,Female,71159,67773,56957,55261,49863,50398,42360,41594,39352,38038,31948,34268,38280,36425,33175,34073,39050,36956,29957
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,25-29,Female,100796,96038,82474,82813,74969,73350,63287,63093,52323,48483,42944,44151,49366,46277,42326,44268,50054,45245,36784
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,50+,Female,391,45,65,55,47,64,72,80,22,30,34,41,43,50,55,50,68,90,42
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,35-39,Female,39075,37830,31189,29044,26964,28007,23366,23104,21955,22154,18840,19818,22669,22496,19832,21117,23274,22636,18084
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,45-49,Female,1314,1200,814,719,965,1097,800,957,679,684,615,646,743,830,721,651,877,836,723
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,<10,Unknown Sex,2,18,46,18,,2,,,,6,,,,2,,2,28,2,2
Cote d'Ivoire,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,14-Oct,Unknown Sex,1312,1395,1052,1062,935,744,602,628,578,644,429,456,604,481,560,477,686,575,484
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,25-29,Female,970,978,750,735,772,739,580,619,597,538,475,453,510,458,378,401,525,425,326
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,40-44,Female,135,179,158,129,130,125,114,102,115,147,136,123,130,143,121,134,139,133,119
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,35-39,Female,649,686,518,497,432,464,381,364,408,443,352,364,455,452,371,385,422,448,308
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,20-24,Female,565,506,418,394,379,405,290,330,298,295,276,237,299,268,279,244,245,262,226
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,14-Oct,Unknown Sex,1,2,3,2,1,1,1,,,1,1,1,,2,,,,1,
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,45-49,Female,11,26,17,12,12,11,9,9,9,11,11,10,8,10,16,12,14,15,9
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,15-19,Female,151,125,100,87,92,77,70,58,88,81,76,53,69,62,61,58,58,70,40
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,50+,Female,3,2,,,,,1,,,,,,,,,1,1,,
Cote d'Ivoire,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,30-34,Female,1042,1029,805,712,665,667,561,536,592,619,493,501,603,520,475,481,512,494,375
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,35-39,Female,,834,,2673,,1628,,3094,,4621,,3848,,4637,,4035,,2117,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,25-29,Female,,3159,,7105,,1874,,7083,,6989,,4792,,6755,,5002,,3272,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,45-49,Male,,3108,,780,,1988,,1302,,1731,,1458,,2145,,2209,,1143,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,50+,Male,,3282,,3349,,1927,,801,,1103,,1366,,2374,,3340,,1367,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,20-24,Male,,1900,,5880,,2299,,7509,,5113,,6991,,3331,,2192,,2878,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,14-Oct,Unknown Sex,,77,,7,,6102,,2303,,630,,761,,4114,,903,,6521,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,40-44,Male,,5499,,9374,,2419,,1901,,2178,,2381,,3886,,3987,,2305,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,30-34,Female,,1888,,3737,,1439,,3538,,3461,,3386,,4674,,6020,,2824,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,15-19,Male,,2931,,2745,,2390,,5915,,4814,,4889,,3878,,1475,,1022,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,40-44,Female,,459,,1371,,922,,1869,,2694,,1914,,2616,,2331,,1143,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,20-24,Female,,21322,,13998,,10910,,10152,,11168,,14916,,13970,,10660,,13136,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,35-39,Male,,9260,,9001,,3745,,3199,,3987,,3461,,4868,,5446,,3485,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,30-34,Male,,11429,,10297,,5541,,4519,,5060,,5432,,7144,,5698,,5326,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,50+,Female,,131,,51,,285,,779,,1069,,1109,,1800,,2451,,1004,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,15-19,Female,,15942,,7617,,11077,,12056,,11026,,12032,,15056,,5952,,13918,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,45-49,Female,,192,,48,,446,,857,,1482,,1282,,1798,,1481,,661,
Cote d'Ivoire,PP_PREV,People from priority populations who completed an HIV prevention intervention,25-29,Male,,19870,,13755,,8631,,7954,,10604,,7614,,12453,,7994,,9132,
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,30-34,Female,,,,,,,,,,,,,58,86,123,112,62,85,118
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,50+,Male,,,,,,,,,,,,,74,96,79,105,61,85,91
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,20-24,Male,,,,,,,,,,,,,66,131,137,151,110,131,227
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,Unknown Age,Male,,,,,,,,,,,,,,,5,,,,
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,50+,Female,,,,,,,,,,,,,11,14,22,24,20,39,44
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,35-39,Male,,,,,,,,,,,,,78,84,114,159,99,129,127
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,35-39,Female,,,,,,,,,,,,,45,79,93,108,76,85,96
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,40-44,Male,,,,,,,,,,,,,64,67,78,115,67,66,87
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,15-19,Female,,,,,,,,,,,,,288,377,583,699,225,218,199
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,45-49,Female,,,,,,,,,,,,,13,17,23,31,19,18,31
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,15-19,Male,,,,,,,,,,,,,26,53,57,62,25,38,95
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,20-24,Female,,,,,,,,,,,,,291,478,630,793,279,305,290
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,30-34,Male,,,,,,,,,,,,,65,97,93,153,82,90,128
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,45-49,Male,,,,,,,,,,,,,42,43,57,78,56,59,66
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,25-29,Male,,,,,,,,,,,,,41,88,100,137,85,109,156
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,25-29,Female,,,,,,,,,,,,,81,144,178,215,101,111,167
Cote d'Ivoire,PrEP_CT,People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period,40-44,Female,,,,,,,,,,,,,18,44,52,57,35,45,48
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,35-39,Male,,,,,,,,21,12,29,56,127,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,50+,Male,,,,,,,,11,5,24,45,106,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,15-19,Male,,,,,,5,,32,25,55,130,141,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,25-29,Male,,,,,,1,,51,49,67,110,172,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,20-24,Female,,,,,,2,,57,61,115,273,603,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,50+,Female,,,,,,1,,3,2,3,9,19,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,45-49,Female,,,,,,1,,1,4,3,12,26,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,35-39,Female,,,,,,3,,10,9,17,44,94,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,40-44,Male,,,,,,7,,18,7,16,35,78,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,15-19,Female,,,,,,,,42,25,42,156,380,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,30-34,Female,,,,,,2,,22,27,40,62,135,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,30-34,Male,,,,,,,,34,27,45,70,139,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,25-29,Female,,,,,,3,,47,73,101,140,292,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,20-24,Male,,,,,,4,,52,71,116,257,324,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,40-44,Female,,,,,,,,6,4,15,25,49,,,,,,,
Cote d'Ivoire,PrEP_CURR,People receiving pre-exposure prophylaxis to prevent HIV infection,45-49,Male,,,,,,2,,10,3,14,31,72,,,,,,,
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,25-29,Male,,,,,,1,,36,2,28,32,62,71,100,107,66,91,198,202
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,40-44,Female,,,,,,,,5,1,11,10,24,23,42,31,32,28,64,56
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,45-49,Female,,,,,,1,,2,1,1,7,14,17,24,21,21,9,34,24
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,20-24,Male,,,,,,4,,48,8,54,122,64,75,156,121,73,108,351,294
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,45-49,Male,,,,,,2,,8,,11,16,41,31,36,34,39,39,73,68
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,25-29,Female,,,,,,3,,39,16,24,38,106,72,177,104,126,102,198,216
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,35-39,Female,,,,,,3,,8,3,10,23,51,40,66,53,50,63,91,91
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,30-34,Female,,,,,,2,,15,8,14,21,57,52,107,52,57,73,139,138
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,50+,Male,,,,,,,,11,,20,21,61,47,58,43,57,32,105,95
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,15-19,Male,,,,,,5,,20,3,32,68,14,38,63,46,17,64,171,166
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,15-19,Female,,,,,,,,37,4,13,114,226,298,674,470,278,200,745,486
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,35-39,Male,,,,,,,,19,5,12,29,71,62,75,86,88,93,144,147
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,40-44,Male,,,,,,7,,13,1,11,18,43,58,62,86,55,55,119,119
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,50+,Female,,,,,,1,,3,,2,4,10,12,20,15,11,13,31,22
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,20-24,Female,,,,,,2,,53,5,47,158,389,375,802,438,371,247,854,789
Cote d'Ivoire,PrEP_NEW,People newly enrolled on pre-exposure prophylaxis to prevent HIV infection,30-34,Male,,,,,,,,31,5,21,19,69,64,88,76,71,88,158,140
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,<01,Unknown Sex,2,,,2,1,2,2,,,2,,3,,,,,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,50+,Female,123,332,141,144,109,104,101,115,76,94,142,130,,,,472,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,35-39,Female,187,199,171,144,121,101,94,97,103,91,99,99,,,,387,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,40-44,Female,146,141,132,150,114,146,85,114,92,92,103,96,,,,388,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,20-24,Female,28,43,54,25,43,55,25,38,19,23,40,20,,,,102,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Female,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,30-34,Male,89,86,70,75,50,86,54,46,66,48,46,41,,,,229,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,15-19,Male,22,24,20,21,15,12,14,9,12,15,6,14,,,,54,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,9-May,Unknown Sex,29,17,21,22,23,10,,11,22,13,29,7,,,,34,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,25-29,Female,87,94,98,94,60,73,51,30,62,60,57,58,,,,183,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Male,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,14-Oct,Unknown Sex,36,20,26,16,22,28,11,14,27,17,20,8,,,,52,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,15-19,Female,28,33,32,12,17,18,12,4,10,8,12,20,,,,43,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,25-29,Male,43,44,25,30,20,30,29,31,34,37,42,25,,,,97,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,45-49,Female,123,105,106,114,83,119,53,71,68,61,79,79,,,,251,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,35-39,Male,147,135,110,82,82,82,64,80,85,63,84,79,,,,331,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,40-44,Male,136,143,150,140,69,140,104,112,95,84,98,99,,,,405,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,20-24,Male,20,15,15,33,11,17,22,8,18,15,10,5,,,,75,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,30-34,Female,137,166,157,118,109,124,76,87,100,60,102,72,,,,329,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,50+,Male,147,209,192,160,101,173,110,131,118,142,132,151,,,,639,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,45-49,Male,102,146,93,118,94,133,84,80,69,103,96,79,,,,396,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Unknown Sex,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,TB_ART,TB cases with documented HIV-positive status who start or continue ART,4-Jan,Unknown Sex,4,7,10,1,14,6,10,4,2,5,6,5,,,,13,,,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,15+,Male,,,,,,,,,,,,,,,,,,3242,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Unknown Sex,,,,6,,,,5,,31,,564,,3341,,3253,,,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,15+,Female,,,,,,,,,,,,,,,,,,9208,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Female,,,,335,,298,,799,,2490,,10639,,63830,,68757,,,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Male,,,,152,,125,,300,,1057,,4004,,21006,,22711,,,
Cote d'Ivoire,TB_PREV,ART patients who completed a standard course of TB preventive therapy,<15,Unknown Sex,,,,,,,,,,,,,,,,,,989,
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,15-19,Female,325,359,242,237,252,252,213,204,200,179,241,222,277,277,233,222,242,228,246
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,45-49,Male,521,514,447,485,490,502,351,407,456,466,483,531,520,566,548,483,460,709,536
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,35-39,Male,768,822,784,630,639,708,598,650,633,630,700,676,780,788,785,753,714,752,614
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,25-29,Female,422,445,456,390,348,374,304,278,306,278,277,319,358,334,328,270,297,360,302
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,35-39,Female,366,473,384,404,330,329,282,309,292,282,306,321,353,346,297,304,323,339,358
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,Coarse,Unknown Sex,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,9-May,Unknown Sex,120,112,131,141,143,161,71,74,129,125,170,135,112,108,109,100,110,144,81
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,40-44,Female,291,352,312,309,266,332,210,279,220,220,284,269,341,316,272,302,295,418,301
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,20-24,Female,381,440,399,295,320,345,231,292,287,250,295,294,356,361,358,342,358,334,329
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,4-Jan,Unknown Sex,83,53,80,80,85,83,55,55,72,103,173,115,90,68,54,74,90,112,48
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,45-49,Female,268,252,234,217,217,254,161,196,175,178,186,223,214,226,192,218,204,246,256
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,<01,Unknown Sex,43,27,20,13,38,33,18,11,22,20,38,30,14,34,28,16,10,11,16
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,50+,Female,605,724,652,651,567,594,519,521,517,504,603,567,625,681,624,643,574,751,717
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,15-19,Male,388,355,341,305,299,248,166,197,233,217,260,276,329,287,316,258,254,295,244
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,30-34,Male,802,864,768,665,645,760,616,689,687,658,649,673,788,851,752,729,774,832,609
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,14-Oct,Unknown Sex,240,196,167,198,231,205,135,163,207,201,204,147,200,191,208,172,228,181,144
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,30-34,Female,405,496,449,365,378,415,289,313,311,267,311,299,365,322,350,359,305,390,293
Cote d'Ivoire,TB_STAT,TB cases with documented HIV status,Coarse,Male,,,,,,,,,,,,,,,,,,,
